"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","SPD","CDU","CSU","GRÜNE","FDP","PDS","Deutschland","APPD","APD","BP","BüSo","BfB","CHANCE.2000","CM","DPD","DVU","GRAUE","REP","FAMILIE","DIE.FRAUEN","HP","Pro.DM","MLPD","Tierschutz","NPD","NATURGESETZ","FORUM","ödp","PBC","AB.2000","Nichtwähler","PASS","PSG","SPD_rel","CDU_rel","CSU_rel","GRÜNE_rel","FDP_rel","PDS_rel","Deutschland_rel","APPD_rel","APD_rel","BP_rel","BüSo_rel","BfB_rel","CHANCE.2000_rel","CM_rel","DPD_rel","DVU_rel","GRAUE_rel","REP_rel","FAMILIE_rel","DIE.FRAUEN_rel","HP_rel","Pro.DM_rel","MLPD_rel","Tierschutz_rel","NPD_rel","NATURGESETZ_rel","FORUM_rel","ödp_rel","PBC_rel","AB.2000_rel","Nichtwähler_rel","PASS_rel","PSG_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg",65755,50560,49862,25490,14538,0,3815,3182,912,0,0,0,0,0,99,0,0,0,694,206,193,0,67,0,562,0,0,46,0,0,58,0,0,0,0,0,51.121,29.156,0,7.651,6.382,1.829,0,0,0,0,0,0.199,0,0,0,1.392,0.413,0.387,0,0.134,0,1.127,0,0,0.092,0,0,0.116,0,0,0,0,0,76.9,"West"
"01002","Kiel",181661,144804,142934,70313,40038,0,14674,9821,3440,0,0,0,0,0,207,0,0,0,1471,476,703,0,222,0,1227,0,0,213,0,0,129,0,0,0,0,0,49.193,28.012,0,10.266,6.871,2.407,0,0,0,0,0,0.145,0,0,0,1.029,0.333,0.492,0,0.155,0,0.858,0,0,0.149,0,0,0.09,0,0,0,0,0,79.7,"West"
"01003","Lübeck",166635,130874,128527,61813,41885,0,9593,8100,2349,0,0,0,0,0,137,0,0,0,1598,323,916,0,127,0,1129,0,0,375,0,0,182,0,0,0,0,0,48.093,32.588,0,7.464,6.302,1.828,0,0,0,0,0,0.107,0,0,0,1.243,0.251,0.713,0,0.099,0,0.878,0,0,0.292,0,0,0.142,0,0,0,0,0,78.5,"West"
"01004","Neumünster",62826,48504,47669,24888,15116,0,2327,2786,764,0,0,0,0,0,84,0,0,0,845,112,190,0,53,0,358,0,0,111,0,0,35,0,0,0,0,0,52.21,31.71,0,4.882,5.844,1.603,0,0,0,0,0,0.176,0,0,0,1.773,0.235,0.399,0,0.111,0,0.751,0,0,0.233,0,0,0.073,0,0,0,0,0,77.2,"West"
"01051","Dithmarschen",106240,86075,84476,37320,34015,0,3443,5955,902,0,0,0,0,0,91,0,0,0,1224,226,174,0,85,0,850,0,0,124,0,0,67,0,0,0,0,0,44.178,40.266,0,4.076,7.049,1.068,0,0,0,0,0,0.108,0,0,0,1.449,0.268,0.206,0,0.101,0,1.006,0,0,0.147,0,0,0.079,0,0,0,0,0,81,"West"
"01053","Herzogtum Lauenburg",136156,114782,113251,49387,41780,0,6969,8736,1655,0,0,0,0,0,348,0,0,0,1742,392,776,0,77,0,940,0,0,369,0,0,80,0,0,0,0,0,43.608,36.892,0,6.154,7.714,1.461,0,0,0,0,0,0.307,0,0,0,1.538,0.346,0.685,0,0.068,0,0.83,0,0,0.326,0,0,0.071,0,0,0,0,0,84.3,"West"
"01054","Nordfriesland",125446,101810,100155,43672,38384,0,6073,8041,1152,0,0,0,0,0,140,0,0,0,847,303,165,0,159,0,944,0,0,181,0,0,94,0,0,0,0,0,43.604,38.325,0,6.064,8.029,1.15,0,0,0,0,0,0.14,0,0,0,0.846,0.303,0.165,0,0.159,0,0.943,0,0,0.181,0,0,0.094,0,0,0,0,0,81.2,"West"
"01055","Ostholstein",156827,129497,127678,57238,48599,0,6446,9515,1500,0,0,0,0,0,250,0,0,0,1877,293,373,0,141,0,1149,0,0,186,0,0,111,0,0,0,0,0,44.83,38.064,0,5.049,7.452,1.175,0,0,0,0,0,0.196,0,0,0,1.47,0.229,0.292,0,0.11,0,0.9,0,0,0.146,0,0,0.087,0,0,0,0,0,82.6,"West"
"01056","Pinneberg",219335,185688,183771,82539,65095,0,12138,15198,2709,0,0,0,0,0,402,0,0,0,2813,551,520,0,169,0,1224,0,0,264,0,0,149,0,0,0,0,0,44.914,35.422,0,6.605,8.27,1.474,0,0,0,0,0,0.219,0,0,0,1.531,0.3,0.283,0,0.092,0,0.666,0,0,0.144,0,0,0.081,0,0,0,0,0,84.7,"West"
"01057","Plön",98946,84864,83859,37831,30948,0,5286,6019,1170,0,0,0,0,0,326,0,0,0,850,178,369,0,80,0,641,0,0,99,0,0,62,0,0,0,0,0,45.113,36.905,0,6.303,7.178,1.395,0,0,0,0,0,0.389,0,0,0,1.014,0.212,0.44,0,0.095,0,0.764,0,0,0.118,0,0,0.074,0,0,0,0,0,85.8,"West"
