"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","SPD","CDU","FDP","DIE.LINKE","GRÜNE","CSU","NPD","REP","FAMILIE","Die.Tierschutzpartei","PBC","MLPD","BüSo","BP","PSG","Volksabstimmung","ZENTRUM","ADM","CM","DKP","DVU","DIE.VIOLETTEN","FWD","ödp","PIRATEN","RRP","RENTNER","SPD_rel","CDU_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","NPD_rel","REP_rel","FAMILIE_rel","Die.Tierschutzpartei_rel","PBC_rel","MLPD_rel","BüSo_rel","BP_rel","PSG_rel","Volksabstimmung_rel","ZENTRUM_rel","ADM_rel","CM_rel","DKP_rel","DVU_rel","DIE.VIOLETTEN_rel","FWD_rel","ödp_rel","PIRATEN_rel","RRP_rel","RENTNER_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg",69075,46583,45431,12739,11238,6530,5267,7323,0,373,0,0,0,0,16,0,0,0,0,0,0,0,0,44,0,0,0,1364,0,537,28.04,24.736,14.373,11.593,16.119,0,0.821,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0.097,0,0,0,3.002,0,1.182,67.4,"West"
"01002","Kiel",182726,131024,128961,38656,31517,16691,12714,22659,0,1195,0,0,0,0,76,0,0,0,0,0,0,0,0,133,0,0,0,4001,0,1319,29.975,24.439,12.943,9.859,17.57,0,0.927,0,0,0,0,0.059,0,0,0,0,0,0,0,0,0.103,0,0,0,3.102,0,1.023,71.7,"West"
"01003","Lübeck",165928,113336,110363,33620,29357,15434,11123,15370,0,1305,0,0,0,0,88,0,0,0,0,0,0,0,0,135,0,0,0,2812,0,1119,30.463,26.6,13.985,10.079,13.927,0,1.182,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.122,0,0,0,2.548,0,1.014,68.3,"West"
"01004","Neumünster",61004,39886,38895,12074,11688,5820,3260,4276,0,586,0,0,0,0,20,0,0,0,0,0,0,0,0,41,0,0,0,784,0,346,31.043,30.05,14.963,8.382,10.994,0,1.507,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0.105,0,0,0,2.016,0,0.89,65.4,"West"
"01051","Dithmarschen",108459,77125,75021,18215,27353,14090,5962,6306,0,856,0,0,0,0,37,0,0,0,0,0,0,0,0,107,0,0,0,1377,0,718,24.28,36.46,18.781,7.947,8.406,0,1.141,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0.143,0,0,0,1.835,0,0.957,71.1,"West"
"01053","Herzogtum Lauenburg",147554,111590,109291,28484,35630,18451,8968,13224,0,1466,0,0,0,0,32,0,0,0,0,0,0,0,0,138,0,0,0,2001,0,897,26.063,32.601,16.882,8.206,12.1,0,1.341,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0.126,0,0,0,1.831,0,0.821,75.6,"West"
"01054","Nordfriesland",131982,95419,93239,22981,33881,15374,5830,11737,0,735,0,0,0,0,36,0,0,0,0,0,0,0,0,133,0,0,0,1567,0,965,24.647,36.338,16.489,6.253,12.588,0,0.788,0,0,0,0,0.039,0,0,0,0,0,0,0,0,0.143,0,0,0,1.681,0,1.035,72.3,"West"
"01055","Ostholstein",164965,120438,117548,33389,38499,20770,8417,12307,0,1080,0,0,0,0,36,0,0,0,0,0,0,0,0,123,0,0,0,1861,0,1066,28.405,32.752,17.669,7.16,10.47,0,0.919,0,0,0,0,0.031,0,0,0,0,0,0,0,0,0.105,0,0,0,1.583,0,0.907,73,"West"
"01056","Pinneberg",232899,176188,172995,45540,57203,28640,13412,20978,0,1743,0,0,0,0,56,0,0,0,0,0,0,0,0,193,0,0,0,3659,0,1571,26.324,33.066,16.555,7.753,12.126,0,1.008,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0.112,0,0,0,2.115,0,0.908,75.6,"West"
"01057","Plön",104617,81243,79381,21886,25926,12772,5164,10774,0,671,0,0,0,0,21,0,0,0,0,0,0,0,0,81,0,0,0,1391,0,695,27.571,32.66,16.089,6.505,13.573,0,0.845,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0.102,0,0,0,1.752,0,0.876,77.7,"West"
"01058","Rendsburg-Eckernförde",216531,164477,161251,42966,54669,25907,10537,20751,0,1300,0,0,0,0,59,0,0,0,0,0,0,0,0,142,0,0,0,3251,0,1669,26.645,33.903,16.066,6.535,12.869,0,0.806,0,0,0,0,0.037,0,0,0,0,0,0,0,0,0.088,0,0,0,2.016,0,1.035,76,"West"
"01059","Schleswig-Flensburg",156141,116746,113717,29054,39830,17657,8214,14644,0,867,0,0,0,0,31,0,0,0,0,0,0,0,0,115,0,0,0,2021,0,1284,25.549,35.026,15.527,7.223,12.878,0,0.762,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0.101,0,0,0,1.777,0,1.129,74.8,"West"
"01060","Segeberg",205240,152508,149631,37118,50128,26809,12074,17009,0,1519,0,0,0,0,50,0,0,0,0,0,0,0,0,199,0,0,0,3094,0,1631,24.806,33.501,17.917,8.069,11.367,0,1.015,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0.133,0,0,0,2.068,0,1.09,74.3,"West"
