"KRS","KRS_Name","Einwohner","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","DIE.LINKE","GRÜNE","CSU","PIRATEN","NPD","Tierschutzpartei","REP","ÖDP","FAMILIE","Bündnis.21.RRP","RENTNER","BP","PBC","BüSo","DIE.VIOLETTEN","MLPD","Volksabstimmung","PSG","AfD","BIG","pro.Deutschland","DIE.RECHTE","DIE.FRAUEN","FREIE.WÄHLER","Partei.der.Nichtwähler","PARTEI.DER.VERNUNFT","Die.PARTEI","CDU_rel","SPD_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","PIRATEN_rel","NPD_rel","Tierschutzpartei_rel","REP_rel","ÖDP_rel","FAMILIE_rel","Bündnis.21.RRP_rel","RENTNER_rel","BP_rel","PBC_rel","BüSo_rel","DIE.VIOLETTEN_rel","MLPD_rel","Volksabstimmung_rel","PSG_rel","AfD_rel","BIG_rel","pro.Deutschland_rel","DIE.RECHTE_rel","DIE.FRAUEN_rel","FREIE.WÄHLER_rel","Partei.der.Nichtwähler_rel","PARTEI.DER.VERNUNFT_rel","Die.PARTEI_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg","84694",70321,46827,46265,14136,16480,2061,3780,5507,0,1172,315,486,0,0,0,0,254,0,0,0,0,19,0,0,1855,0,0,0,0,200,0,0,0,30.554,35.621,4.455,8.17,11.903,0,2.533,0.681,1.05,0,0,0,0,0.549,0,0,0,0,0.041,0,0,4.01,0,0,0,0,0.432,0,0,0,66.5903499665818,"West"
"01002","Kiel","243148",187464,132054,130686,38037,46070,6688,9478,18814,0,3719,754,1120,0,0,0,0,733,0,0,0,0,68,0,0,4778,0,0,0,0,427,0,0,0,29.106,35.252,5.118,7.252,14.396,0,2.846,0.577,0.857,0,0,0,0,0.561,0,0,0,0,0.052,0,0,3.656,0,0,0,0,0.327,0,0,0,70.4423249263859,"West"
"01003","Lübeck","214420",167287,113351,112029,37701,38703,5244,7396,12561,0,2772,884,797,0,0,0,0,392,0,0,0,0,92,0,0,4792,0,0,0,0,695,0,0,0,33.653,34.547,4.681,6.602,11.212,0,2.474,0.789,0.711,0,0,0,0,0.35,0,0,0,0,0.082,0,0,4.277,0,0,0,0,0.62,0,0,0,67.7584032232032,"West"
"01004","Neumünster","77588",61095,39957,39388,14170,14092,1925,2157,2959,0,772,630,336,0,0,0,0,184,0,0,0,0,20,0,0,1965,0,0,0,0,178,0,0,0,35.975,35.777,4.887,5.476,7.512,0,1.96,1.599,0.853,0,0,0,0,0.467,0,0,0,0,0.051,0,0,4.989,0,0,0,0,0.452,0,0,0,65.4014240117849,"West"
"01051","Dithmarschen","132685",107468,74624,73649,32039,22264,4775,3567,4649,0,1432,549,525,0,0,0,0,334,0,0,0,0,32,0,0,3041,0,0,0,0,442,0,0,0,43.502,30.23,6.483,4.843,6.312,0,1.944,0.745,0.713,0,0,0,0,0.454,0,0,0,0,0.043,0,0,4.129,0,0,0,0,0.6,0,0,0,69.4383444374139,"West"
"01053","Herzogtum Lauenburg","190703",149486,111545,110482,44406,33059,6427,5788,9963,0,1928,958,921,0,0,0,0,363,0,0,0,0,22,0,0,6098,0,0,0,0,549,0,0,0,40.193,29.923,5.817,5.239,9.018,0,1.745,0.867,0.834,0,0,0,0,0.329,0,0,0,0,0.02,0,0,5.519,0,0,0,0,0.497,0,0,0,74.6190278688305,"West"
"01054","Nordfriesland","162203",131157,93315,92309,39745,27230,5949,3918,8155,0,1686,467,699,0,0,0,0,395,0,0,0,0,29,0,0,3490,0,0,0,0,546,0,0,0,43.056,29.499,6.445,4.244,8.834,0,1.826,0.506,0.757,0,0,0,0,0.428,0,0,0,0,0.031,0,0,3.781,0,0,0,0,0.591,0,0,0,71.1475559825248,"West"
"01055","Ostholstein","198355",164625,120139,118782,48856,37612,7433,5102,9332,0,1878,668,835,0,0,0,0,452,0,0,0,0,22,0,0,5948,0,0,0,0,644,0,0,0,41.131,31.665,6.258,4.295,7.856,0,1.581,0.562,0.703,0,0,0,0,0.381,0,0,0,0,0.019,0,0,5.007,0,0,0,0,0.542,0,0,0,72.9773728170084,"West"
"01056","Pinneberg","304087",235610,179055,177373,72006,55371,9863,8910,15291,0,3370,1319,1271,0,0,0,0,665,0,0,0,0,42,0,0,8479,0,0,0,0,786,0,0,0,40.596,31.217,5.561,5.023,8.621,0,1.9,0.744,0.717,0,0,0,0,0.375,0,0,0,0,0.024,0,0,4.78,0,0,0,0,0.443,0,0,0,75.9963499002589,"West"
"01057","Plön","126865",104178,80265,79393,31491,25097,4425,3532,8103,0,1263,464,599,0,0,0,0,322,0,0,0,0,24,0,0,3582,0,0,0,0,491,0,0,0,39.665,31.611,5.574,4.449,10.206,0,1.591,0.584,0.754,0,0,0,0,0.406,0,0,0,0,0.03,0,0,4.512,0,0,0,0,0.618,0,0,0,77.0460173933076,"West"
"01058","Rendsburg-Eckernförde","268628",216682,163981,162250,66205,50850,9146,6992,15287,0,2847,902,1371,0,0,0,0,752,0,0,0,0,35,0,0,7101,0,0,0,0,762,0,0,0,40.804,31.341,5.637,4.309,9.422,0,1.755,0.556,0.845,0,0,0,0,0.463,0,0,0,0,0.022,0,0,4.377,0,0,0,0,0.47,0,0,0,75.6781827747575,"West"
"01059","Schleswig-Flensburg","195593",156623,115922,114371,47211,35916,6004,5304,10227,0,2011,614,973,0,0,0,0,536,0,0,0,0,25,0,0,4708,0,0,0,0,842,0,0,0,41.279,31.403,5.25,4.638,8.942,0,1.758,0.537,0.851,0,0,0,0,0.469,0,0,0,0,0.022,0,0,4.116,0,0,0,0,0.736,0,0,0,74.0133952229238,"West"
"01060","Segeberg","264972",208464,154526,153057,63784,45548,8870,7544,12480,0,3176,1193,1321,0,0,0,0,644,0,0,0,0,41,0,0,7513,0,0,0,0,943,0,0,0,41.673,29.759,5.795,4.929,8.154,0,2.075,0.779,0.863,0,0,0,0,0.421,0,0,0,0,0.027,0,0,4.909,0,0,0,0,0.616,0,0,0,74.1259881802134,"West"
"01061","Steinburg","130218",105499,76304,75475,30920,22999,4366,3972,6064,0,1695,639,588,0,0,0,0,295,0,0,0,0,17,0,0,3357,0,0,0,0,563,0,0,0,40.967,30.472,5.785,5.263,8.034,0,2.246,0.847,0.779,0,0,0,0,0.391,0,0,0,0,0.023,0,0,4.448,0,0,0,0,0.746,0,0,0,72.3267519123404,"West"
"01062","Stormarn","236705",185837,143885,142781,58049,42434,8538,6737,13745,0,2496,873,1036,0,0,0,0,522,0,0,0,0,33,0,0,7639,0,0,0,0,679,0,0,0,40.656,29.72,5.98,4.718,9.627,0,1.748,0.611,0.726,0,0,0,0,0.366,0,0,0,0,0.023,0,0,5.35,0,0,0,0,0.476,0,0,0,77.4253781539736,"West"
"02000","Hamburg","1762791",1281918,901213,890829,285927,288902,42869,78296,112826,0,24505,5658,0,0,1963,0,0,3819,0,0,0,0,423,0,0,37142,0,0,0,0,2856,0,0,5643,32.097,32.431,4.812,8.789,12.665,0,2.751,0.635,0,0,0.22,0,0,0.429,0,0,0,0,0.047,0,0,4.169,0,0,0,0,0.321,0,0,0.633,70.3019225878722,"West"
"03101","Braunschweig","248502",193799,143752,142285,48419,47741,6214,9527,17614,0,4169,1038,1295,97,0,0,0,0,0,128,0,0,100,0,0,5092,0,127,0,0,724,0,0,0,34.03,33.553,4.367,6.696,12.379,0,2.93,0.73,0.91,0.068,0,0,0,0,0,0.09,0,0,0.07,0,0,3.579,0,0.089,0,0,0.509,0,0,0,74.1758213406674,"West"
"03102","Salzgitter","98966",75402,51907,51134,17002,21406,1519,3549,2987,0,678,785,395,122,0,0,0,0,0,85,0,0,13,0,0,2003,0,72,0,0,518,0,0,0,33.25,41.863,2.971,6.941,5.842,0,1.326,1.535,0.772,0.239,0,0,0,0,0,0.166,0,0,0.025,0,0,3.917,0,0.141,0,0,1.013,0,0,0,68.8403490623591,"West"
"03103","Wolfsburg","123027",92819,64675,63975,26799,21748,2348,3263,4416,0,1232,708,495,24,0,0,0,0,0,153,0,0,22,0,0,2437,0,67,0,0,263,0,0,0,41.89,33.995,3.67,5.1,6.903,0,1.926,1.107,0.774,0.038,0,0,0,0,0,0.239,0,0,0.034,0,0,3.809,0,0.105,0,0,0.411,0,0,0,69.6786218338918,"West"
"03151","Gifhorn","172541",134366,99309,98406,43254,31642,3657,4460,7236,0,1841,937,777,54,0,0,0,0,0,527,0,0,28,0,0,3504,0,86,0,0,403,0,0,0,43.955,32.155,3.716,4.532,7.353,0,1.871,0.952,0.79,0.055,0,0,0,0,0,0.536,0,0,0.028,0,0,3.561,0,0.087,0,0,0.41,0,0,0,73.9093222987958,"West"
"03152","Göttingen","250220",195780,147262,145943,51705,47816,5905,9372,18998,0,2904,1007,1021,76,0,0,0,0,0,132,0,0,58,0,0,5426,0,204,0,0,1319,0,0,0,35.428,32.763,4.046,6.422,13.017,0,1.99,0.69,0.7,0.052,0,0,0,0,0,0.09,0,0,0.04,0,0,3.718,0,0.14,0,0,0.904,0,0,0,75.2181019511697,"West"
"03153","Goslar","137256",112517,79695,78610,30108,29263,3307,4380,5070,0,1220,757,645,71,0,0,0,0,0,50,0,0,29,0,0,3249,0,103,0,0,358,0,0,0,38.3,37.226,4.207,5.572,6.45,0,1.552,0.963,0.821,0.09,0,0,0,0,0,0.064,0,0,0.037,0,0,4.133,0,0.131,0,0,0.455,0,0,0,70.8292969062453,"West"
"03154","Helmstedt","90908",74709,53711,53038,20975,19133,1910,2553,3553,0,959,966,539,17,0,0,0,0,0,57,0,0,12,0,0,1972,0,76,0,0,316,0,0,0,39.547,36.074,3.601,4.814,6.699,0,1.808,1.821,1.016,0.032,0,0,0,0,0,0.107,0,0,0.023,0,0,3.718,0,0.143,0,0,0.596,0,0,0,71.8936138885543,"West"
"03155","Northeim","133905",110737,80439,79054,29624,30983,3032,3586,5647,0,1014,845,537,47,0,0,0,0,0,89,0,0,12,0,0,3067,0,144,0,0,427,0,0,0,37.473,39.192,3.835,4.536,7.143,0,1.283,1.069,0.679,0.059,0,0,0,0,0,0.113,0,0,0.015,0,0,3.88,0,0.182,0,0,0.54,0,0,0,72.6396777951362,"West"
"03156","Osterode am Harz","73793",62441,44589,44104,16800,16984,1706,2348,2702,0,653,550,339,32,0,0,0,0,0,33,0,0,14,0,0,1557,0,69,0,0,317,0,0,0,38.092,38.509,3.868,5.324,6.126,0,1.481,1.247,0.769,0.073,0,0,0,0,0,0.075,0,0,0.032,0,0,3.53,0,0.156,0,0,0.719,0,0,0,71.4098108614532,"West"
"03157","Peine","130601",102787,77515,76824,27611,31189,2529,3739,5654,0,1261,753,613,83,0,0,0,0,0,133,0,0,22,0,0,2765,0,140,0,0,332,0,0,0,35.941,40.598,3.292,4.867,7.36,0,1.641,0.98,0.798,0.108,0,0,0,0,0,0.173,0,0,0.029,0,0,3.599,0,0.182,0,0,0.432,0,0,0,75.4132331909677,"West"
"03158","Wolfenbüttel","120035",97192,74478,73004,26780,26966,2778,3664,6577,0,1209,733,681,56,0,0,0,0,0,66,0,0,14,0,0,2982,0,85,0,0,413,0,0,0,36.683,36.938,3.805,5.019,9.009,0,1.656,1.004,0.933,0.077,0,0,0,0,0,0.09,0,0,0.019,0,0,4.085,0,0.116,0,0,0.566,0,0,0,76.6297637665651,"West"
"03241","Region Hannover","1128037",847629,630716,623721,226524,216824,27979,35722,67797,0,10800,4530,4934,559,0,0,0,0,0,664,0,0,263,0,0,23399,0,842,0,0,2884,0,0,0,36.318,34.763,4.486,5.727,10.87,0,1.732,0.726,0.791,0.09,0,0,0,0,0,0.106,0,0,0.042,0,0,3.752,0,0.135,0,0,0.462,0,0,0,74.4094409228566,"West"
"03251","Diepholz","211093",168362,124298,123249,53298,38823,6194,5590,10282,0,1888,990,1038,90,0,0,0,0,0,114,0,0,19,0,0,4176,0,149,0,0,598,0,0,0,43.244,31.5,5.026,4.536,8.342,0,1.532,0.803,0.842,0.073,0,0,0,0,0,0.092,0,0,0.015,0,0,3.388,0,0.121,0,0,0.485,0,0,0,73.8278233805728,"West"
"03252","Hameln-Pyrmont","147813",119218,85079,83837,31971,29587,3334,4708,7236,0,1445,747,653,66,0,0,0,0,0,86,0,0,17,0,0,3607,0,96,0,0,284,0,0,0,38.135,35.291,3.977,5.616,8.631,0,1.724,0.891,0.779,0.079,0,0,0,0,0,0.103,0,0,0.02,0,0,4.302,0,0.115,0,0,0.339,0,0,0,71.3642235232935,"West"
"03254","Hildesheim","274554",219571,164796,162997,63041,59319,5589,8120,14587,0,2937,1482,1208,92,0,0,0,0,0,151,0,0,31,0,0,5601,0,384,0,0,455,0,0,0,38.676,36.393,3.429,4.982,8.949,0,1.802,0.909,0.741,0.056,0,0,0,0,0,0.093,0,0,0.019,0,0,3.436,0,0.236,0,0,0.279,0,0,0,75.0536273005087,"West"
"03255","Holzminden","71438",58096,42232,41758,15315,15682,2312,1962,3441,0,571,416,310,28,0,0,0,0,0,90,0,0,12,0,0,1451,0,35,0,0,133,0,0,0,36.676,37.554,5.537,4.699,8.24,0,1.367,0.996,0.742,0.067,0,0,0,0,0,0.216,0,0,0.029,0,0,3.475,0,0.084,0,0,0.319,0,0,0,72.6934728724869,"West"
