"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","SPD","CDU","CSU","GRÜNE","FDP","PDS","REP","GRAUE","Tierschutz","NPD","ödp","PBC","FRAUEN","BP","FAMILIE","CM","BüSo","HP","Violetten","AUFBRUCH","ZENTRUM","KPD","PRG","Schill","SPD_rel","CDU_rel","CSU_rel","GRÜNE_rel","FDP_rel","PDS_rel","REP_rel","GRAUE_rel","Tierschutz_rel","NPD_rel","ödp_rel","PBC_rel","FRAUEN_rel","BP_rel","FAMILIE_rel","CM_rel","BüSo_rel","HP_rel","Violetten_rel","AUFBRUCH_rel","ZENTRUM_rel","KPD_rel","PRG_rel","Schill_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg",65740,49054,48553,23396,14362,0,5556,3424,859,80,153,0,128,0,153,0,0,0,0,0,0,0,0,0,0,0,442,48.187,29.58,0,11.443,7.052,1.769,0.165,0.315,0,0.264,0,0.315,0,0,0,0,0,0,0,0,0,0,0,0.91,74.6,"West"
"01002","Kiel",176468,137758,136225,61489,36596,0,20890,10948,3098,234,345,0,509,0,297,0,0,0,0,0,0,0,0,0,0,0,1819,45.138,26.864,0,15.335,8.037,2.274,0.172,0.253,0,0.374,0,0.218,0,0,0,0,0,0,0,0,0,0,0,1.335,78.1,"West"
"01003","Lübeck",165375,126336,124634,60039,39012,0,12375,8135,2033,249,259,0,458,0,289,0,0,0,0,0,0,0,0,0,0,0,1785,48.172,31.301,0,9.929,6.527,1.631,0.2,0.208,0,0.367,0,0.232,0,0,0,0,0,0,0,0,0,0,0,1.432,76.4,"West"
"01004","Neumünster",61909,46253,45665,22162,15312,0,3005,3271,585,84,110,0,183,0,181,0,0,0,0,0,0,0,0,0,0,0,772,48.532,33.531,0,6.581,7.163,1.281,0.184,0.241,0,0.401,0,0.396,0,0,0,0,0,0,0,0,0,0,0,1.691,74.7,"West"
"01051","Dithmarschen",107594,83694,82616,34465,33700,0,4461,7012,1072,123,242,0,218,0,119,0,0,0,0,0,0,0,0,0,0,0,1204,41.717,40.791,0,5.4,8.487,1.298,0.149,0.293,0,0.264,0,0.144,0,0,0,0,0,0,0,0,0,0,0,1.457,77.8,"West"
"01053","Herzogtum Lauenburg",141792,115977,114734,46896,43600,0,10244,9169,1367,216,216,0,438,0,220,0,0,0,0,0,0,0,0,0,0,0,2368,40.874,38.001,0,8.928,7.992,1.191,0.188,0.188,0,0.382,0,0.192,0,0,0,0,0,0,0,0,0,0,0,2.064,81.8,"West"
"01054","Nordfriesland",127562,102509,101455,43393,39904,0,7238,8208,1079,93,290,0,232,0,205,0,0,0,0,0,0,0,0,0,0,0,813,42.771,39.332,0,7.134,8.09,1.064,0.092,0.286,0,0.229,0,0.202,0,0,0,0,0,0,0,0,0,0,0,0.801,80.4,"West"
"01055","Ostholstein",160770,129463,128182,56418,49310,0,8953,9941,1204,155,239,0,366,0,376,0,0,0,0,0,0,0,0,0,0,0,1220,44.014,38.469,0,6.985,7.755,0.939,0.121,0.186,0,0.286,0,0.293,0,0,0,0,0,0,0,0,0,0,0,0.952,80.5,"West"
"01056","Pinneberg",223977,187495,185700,77166,65925,0,18998,15419,2204,241,494,0,399,0,440,0,0,0,0,0,0,0,0,0,0,0,4414,41.554,35.501,0,10.23,8.303,1.187,0.13,0.266,0,0.215,0,0.237,0,0,0,0,0,0,0,0,0,0,0,2.377,83.7,"West"
"01057","Plön",102080,85851,85042,36512,31057,0,8177,6636,1040,112,180,0,219,0,165,0,0,0,0,0,0,0,0,0,0,0,944,42.934,36.52,0,9.615,7.803,1.223,0.132,0.212,0,0.258,0,0.194,0,0,0,0,0,0,0,0,0,0,0,1.11,84.1,"West"
"01058","Rendsburg-Eckernförde",212644,174591,172769,72712,64535,0,16066,14247,1996,194,389,0,417,0,411,0,0,0,0,0,0,0,0,0,0,0,1802,42.086,37.353,0,9.299,8.246,1.155,0.112,0.225,0,0.241,0,0.238,0,0,0,0,0,0,0,0,0,0,0,1.043,82.1,"West"
"01059","Schleswig-Flensburg",151938,122802,121688,51538,47638,0,9988,9264,1339,167,315,0,195,0,304,0,0,0,0,0,0,0,0,0,0,0,940,42.353,39.148,0,8.208,7.613,1.1,0.137,0.259,0,0.16,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.772,80.8,"West"
"01060","Segeberg",195800,159163,157759,63907,59093,0,13902,14356,1918,226,522,0,386,0,226,0,0,0,0,0,0,0,0,0,0,0,3223,40.509,37.458,0,8.812,9.1,1.216,0.143,0.331,0,0.245,0,0.143,0,0,0,0,0,0,0,0,0,0,0,2.043,81.3,"West"
"01061","Steinburg",105162,85087,84024,35172,31542,0,7081,7133,1061,106,188,0,260,0,191,0,0,0,0,0,0,0,0,0,0,0,1290,41.859,37.539,0,8.427,8.489,1.263,0.126,0.224,0,0.309,0,0.227,0,0,0,0,0,0,0,0,0,0,0,1.535,80.9,"West"
"01062","Stormarn",173945,147193,145913,58573,53514,0,15491,12254,1724,162,371,0,293,0,273,0,0,0,0,0,0,0,0,0,0,0,3258,40.142,36.675,0,10.617,8.398,1.182,0.111,0.254,0,0.201,0,0.187,0,0,0,0,0,0,0,0,0,0,0,2.233,84.6,"West"
"02000","Hamburg",1221783,972418,963438,404738,270318,0,156010,65574,20253,1201,0,0,1956,0,0,2189,0,0,0,890,0,0,0,0,0,0,40309,42.01,28.058,0,16.193,6.806,2.102,0.125,0,0,0.203,0,0,0.227,0,0,0,0.092,0,0,0,0,0,0,4.184,79.6,"West"
"03101","Braunschweig",188217,150095,148899,74055,44360,0,14911,10248,2414,537,204,586,267,58,223,0,0,0,0,76,0,0,0,0,0,0,960,49.735,29.792,0,10.014,6.883,1.621,0.361,0.137,0.394,0.179,0.039,0.15,0,0,0,0,0.051,0,0,0,0,0,0,0.645,79.7,"West"
"03102","Salzgitter",81987,63588,62944,35060,19808,0,2518,3247,564,275,80,288,202,14,138,0,0,0,0,7,0,0,0,0,0,0,743,55.7,31.469,0,4,5.159,0.896,0.437,0.127,0.458,0.321,0.022,0.219,0,0,0,0,0.011,0,0,0,0,0,0,1.18,77.6,"West"
"03103","Wolfsburg",91445,72868,72300,37813,24607,0,3955,3761,582,104,169,203,407,52,129,0,0,0,0,7,0,0,0,0,0,0,511,52.3,34.035,0,5.47,5.202,0.805,0.144,0.234,0.281,0.563,0.072,0.178,0,0,0,0,0.01,0,0,0,0,0,0,0.707,79.7,"West"
"03151","Gifhorn",128791,106068,105222,50778,38491,0,6154,6695,802,282,128,305,332,30,511,0,0,0,0,26,0,0,0,0,0,0,688,48.258,36.581,0,5.849,6.363,0.762,0.268,0.122,0.29,0.316,0.029,0.486,0,0,0,0,0.025,0,0,0,0,0,0,0.654,82.4,"West"
"03152","Göttingen",198017,161630,160254,73092,51745,0,19005,10624,2861,206,323,563,754,92,174,0,0,0,0,26,0,0,0,0,0,0,789,45.61,32.289,0,11.859,6.629,1.785,0.129,0.202,0.351,0.471,0.057,0.109,0,0,0,0,0.016,0,0,0,0,0,0,0.492,81.6,"West"
"03153","Goslar",121336,96483,95587,47648,33576,0,4751,6659,1099,299,151,370,324,17,150,0,0,0,0,12,0,0,0,0,0,0,531,49.848,35.126,0,4.97,6.966,1.15,0.313,0.158,0.387,0.339,0.018,0.157,0,0,0,0,0.013,0,0,0,0,0,0,0.556,79.5,"West"
"03154","Helmstedt",77913,62560,62006,32388,21036,0,2897,3619,606,74,72,263,614,20,93,0,0,0,0,8,0,0,0,0,0,0,316,52.234,33.926,0,4.672,5.837,0.977,0.119,0.116,0.424,0.99,0.032,0.15,0,0,0,0,0.013,0,0,0,0,0,0,0.51,80.3,"West"
"03155","Northeim",117963,95635,94811,50226,30520,0,5058,6251,880,361,127,322,298,25,84,0,0,0,0,14,0,0,0,0,0,0,645,52.975,32.19,0,5.335,6.593,0.928,0.381,0.134,0.34,0.314,0.026,0.089,0,0,0,0,0.015,0,0,0,0,0,0,0.68,81.1,"West"
"03156","Osterode am Harz",67891,54019,53461,27873,17800,0,2614,3509,599,174,80,239,189,18,69,0,0,0,0,15,0,0,0,0,0,0,282,52.137,33.295,0,4.89,6.564,1.12,0.325,0.15,0.447,0.354,0.034,0.129,0,0,0,0,0.028,0,0,0,0,0,0,0.527,79.6,"West"
"03157","Peine",102258,84212,83618,46876,24863,0,4592,4774,693,280,123,304,182,20,201,0,0,0,0,18,0,0,0,0,0,0,692,56.06,29.734,0,5.492,5.709,0.829,0.335,0.147,0.364,0.218,0.024,0.24,0,0,0,0,0.022,0,0,0,0,0,0,0.828,82.4,"West"
"03158","Wolfenbüttel",98869,82003,81451,41501,26360,0,5536,5558,794,217,89,362,218,19,124,0,0,0,0,16,0,0,0,0,0,0,657,50.952,32.363,0,6.797,6.824,0.975,0.266,0.109,0.444,0.268,0.023,0.152,0,0,0,0,0.02,0,0,0,0,0,0,0.807,82.9,"West"
"03241","Region Hannover",833540,682682,677226,343243,201638,0,63326,44882,8364,2424,1263,2127,1336,278,1321,0,0,0,0,298,0,0,0,0,0,0,6726,50.684,29.774,0,9.351,6.627,1.235,0.358,0.186,0.314,0.197,0.041,0.195,0,0,0,0,0.044,0,0,0,0,0,0,0.993,81.9,"West"
"03251","Diepholz",164997,133340,132469,63591,43045,0,9587,12197,1253,385,162,463,292,44,349,0,0,0,0,25,0,0,0,0,0,0,1076,48.004,32.494,0,7.237,9.207,0.946,0.291,0.122,0.35,0.22,0.033,0.263,0,0,0,0,0.019,0,0,0,0,0,0,0.812,80.8,"West"
"03252","Hameln-Pyrmont",124300,100597,99737,49923,33573,0,5565,6932,947,342,121,424,275,32,203,0,0,0,0,34,0,0,0,0,0,0,1366,50.055,33.662,0,5.58,6.95,0.949,0.343,0.121,0.425,0.276,0.032,0.204,0,0,0,0,0.034,0,0,0,0,0,0,1.37,80.9,"West"
"03254","Hildesheim",225028,186886,185390,95444,61160,0,12184,10144,1606,526,338,658,387,66,394,0,0,0,0,35,0,0,0,0,0,0,2448,51.483,32.99,0,6.572,5.472,0.866,0.284,0.182,0.355,0.209,0.036,0.213,0,0,0,0,0.019,0,0,0,0,0,0,1.32,83.1,"West"
"03255","Holzminden",63355,51798,51295,26985,16685,0,2552,3419,460,109,60,205,260,12,110,0,0,0,0,12,0,0,0,0,0,0,426,52.607,32.528,0,4.975,6.665,0.897,0.212,0.117,0.4,0.507,0.023,0.214,0,0,0,0,0.023,0,0,0,0,0,0,0.83,81.8,"West"
"03256","Nienburg",96587,75931,75362,37227,26863,0,4033,4819,636,347,84,301,175,27,110,0,0,0,0,16,0,0,0,0,0,0,724,49.398,35.645,0,5.352,6.394,0.844,0.46,0.111,0.399,0.232,0.036,0.146,0,0,0,0,0.021,0,0,0,0,0,0,0.961,78.6,"West"
"03257","Schaumburg",127216,103903,103145,53429,33759,0,6121,6297,932,398,141,407,284,31,356,0,0,0,0,26,0,0,0,0,0,0,964,51.8,32.73,0,5.934,6.105,0.904,0.386,0.137,0.395,0.275,0.03,0.345,0,0,0,0,0.025,0,0,0,0,0,0,0.935,81.7,"West"
"03351","Celle",139133,111056,110219,47168,43658,0,6755,8052,1009,1209,152,363,222,43,411,0,0,0,0,19,0,0,0,0,0,0,1158,42.795,39.61,0,6.129,7.305,0.915,1.097,0.138,0.329,0.201,0.039,0.373,0,0,0,0,0.017,0,0,0,0,0,0,1.051,79.8,"West"
"03352","Cuxhaven",159871,128334,127425,62744,42987,0,8473,8931,1081,251,181,592,345,45,129,0,0,0,0,49,0,0,0,0,0,0,1617,49.24,33.735,0,6.649,7.009,0.848,0.197,0.142,0.465,0.271,0.035,0.101,0,0,0,0,0.038,0,0,0,0,0,0,1.269,80.3,"West"
"03353","Harburg",181858,154381,153429,62218,56126,0,14639,13411,1517,283,233,716,442,65,312,0,0,0,0,49,0,0,0,0,0,0,3418,40.552,36.581,0,9.541,8.741,0.989,0.184,0.152,0.467,0.288,0.042,0.203,0,0,0,0,0.032,0,0,0,0,0,0,2.228,84.9,"West"
"03354","Lüchow-Dannenberg",41362,32540,32157,13489,11332,0,3736,2156,683,71,53,136,104,13,92,0,0,0,0,9,0,0,0,0,0,0,283,41.947,35.24,0,11.618,6.705,2.124,0.221,0.165,0.423,0.323,0.04,0.286,0,0,0,0,0.028,0,0,0,0,0,0,0.88,78.7,"West"
"03355","Lüneburg",130212,105652,104870,47478,32645,0,12256,7958,1714,164,152,408,375,58,152,0,0,0,0,45,0,0,0,0,0,0,1465,45.273,31.129,0,11.687,7.588,1.634,0.156,0.145,0.389,0.358,0.055,0.145,0,0,0,0,0.043,0,0,0,0,0,0,1.397,81.1,"West"
"03356","Osterholz",86554,71112,70592,34796,20778,0,6731,5563,763,267,115,345,212,19,147,0,0,0,0,33,0,0,0,0,0,0,823,49.292,29.434,0,9.535,7.88,1.081,0.378,0.163,0.489,0.3,0.027,0.208,0,0,0,0,0.047,0,0,0,0,0,0,1.166,82.2,"West"
"03357","Rotenburg",123665,99786,99096,43329,38326,0,6769,7514,892,252,111,370,264,22,286,0,0,0,0,62,0,0,0,0,0,0,899,43.724,38.676,0,6.831,7.583,0.9,0.254,0.112,0.373,0.266,0.022,0.289,0,0,0,0,0.063,0,0,0,0,0,0,0.907,80.7,"West"
"03358","Heidekreis",107880,86065,85370,39272,31614,0,5097,5935,795,502,97,343,263,27,243,0,0,0,0,20,0,0,0,0,0,0,1162,46.002,37.032,0,5.97,6.952,0.931,0.588,0.114,0.402,0.308,0.032,0.285,0,0,0,0,0.023,0,0,0,0,0,0,1.361,79.8,"West"
"03359","Stade",148160,119153,118353,54424,41393,0,9219,8685,1231,162,198,404,523,37,154,0,0,0,0,24,0,0,0,0,0,0,1899,45.984,34.974,0,7.789,7.338,1.04,0.137,0.167,0.341,0.442,0.031,0.13,0,0,0,0,0.02,0,0,0,0,0,0,1.605,80.4,"West"
