PLZ,Bezirk,Name,Einwohner,Kaufkraft,Mietpreis,Mietsteigerung,Arbeitslosenquote,CDU-Wähler,Linke-Wähler,SPD-Wähler,Grüne-Wähler,FDP-Wähler,Afd-Wähler,Autobesitzer,Hauptschulabschluss,Realschulabschluss,Abitur,Konservativ-Etabliertes Milieu,Liberal-Intellektuelles Milieu,Milieu der Performer,Expeditives Milieu,Bürgerliche Mitte,Adaptiv-Pragmatisches Milieu,Sozialökologisches Milieu,Traditionelles Milieu,Prekäres Milieu,Hedonistisches Milieu,Junge Singles,Junge Paare,Junge Familien mit Kind,Singles,Paare,Familien mit Kind,Alleinstehende Senioren,Ältere Paare,Ältere Mehrpersonenhaushalte,Einwohner_Amt,Gebürtige Berliner,Zugezogene,Einfache Wohnlage,Einfache Wohnlage mit Lärm,Mittlere Wohnlage,Mittlere Wohnlage mit Lärm,Gute Wohnlage,Gute Wohnlage mit Lärm,Migrationshintergrund,Ausländeranteil,Alter,Neugeborene,Kita-Kinder,Schüler,Rentner,Airbnb-Ferienwohnungen,Internet-Ferne,Internet-Laien,Selektivorientierte,Sicherheitsorientierte,Effizienzorientierte,Unterhaltungsorientierte,Digital-Souveräne,Werbeverweigerer,Statushohe Großstädter,Gutsituierte in stadtnahen Umlandgemeinden,Gute Wohngebiete in mittelgroßen Städten,Städtische Problemgebiete,Hochhäuser und einfache Mietwohnungen,Rentner in einfachen Nachkriegsbauten,Alte Häuser auf dem Land,Arbeiter in kleinen Städten,Ältere Leute in Umlandgemeinden,Landbevölkerung,Attraktive innerstädtische Wohnlagen,Wohlhabende Akademiker in Villenvierteln,Gutverdienende Familien in neueren Eigenheimen im Umland,Gediegene ältere Einzelhäuser,Speckgürtel: Gute neuere Einzelhäuser,Gute neue Einzelhäuser,Alte Ortskerne,Neue Reihenhäuser im ländlichen Raum,Einfache Häuser im Grünen,Ältere Mehrfamilienhäuser,Aufsteiger: Gehobene Berufe in Außenbezirken,Mittelstand in ländlichen Gemeinden,Sozialer Wohnungsbau und einfache Mehrfamilienhäuser,Nicht modernisierter Altbau,Blockbebauung geringen Standards,Multi-kulturelle Innenstadtbereiche,Hochhäuser einfachen Standards,Älterer sozialer Wohnungsbau,Einfache städtische Zeilenbau-Siedlungen,Soziale Brennpunkte,Jüngere Leute in älteren Mietwohnungen,Mittelstand in älteren Quartieren,Einfache Leute in Mietwohnungen,Einfache alleinstehende Rentner,Jüngere Dorfbewohner,Einfache Berufe auf dem Land,Gering qualifizierte Arbeiter,Selbständige in neueren Häusern,Handwerker im ländlichen Raum,Sozial schwache Kleinstädter,Peripherie: Dörfer in Randlagen,Senioren im Umland,Ältere Familien am Stadtrand,Solide Rentner in Zweifamilienhäusern,Ältere Leute in älteren Häusern,Gutsituierte Senioren in Vororten,Ältere Landbevölkerung,Landbevölkerung,Umzugsvolumen,Umzugssaldo,Fluktuation,Nahumzugsquote,Fernumzugsquote,abo_2006_rel,abo_2007_rel,abo_2008_rel,abo_2009_rel,abo_2010_rel,abo_2011_rel,abo_2012_rel,abo_2013_rel,abo_2014_rel,abo_2015_rel,abo_2016_rel,ev_2008_rel,ev_2009_rel,ev_2010_rel,ev_2011_rel,ev_2012_rel,ev_2013_rel,ev_2014_rel,ev_2015_rel,ev_2016_rel
10115,1,Chauseestraße,22168,21402,12,39.2,9.6,21.9,17.2,23.6,21.1,5.4,3.5,29.6,30.5,28.5,24.1,8.6,8.7,9.5,15.1,8.0,10.6,6.6,6.6,7.7,18.7,19.1,4.8,2.6,36.2,9.3,10.8,11.1,4.8,1.3,24140,27.5,72.5,26.5,30.3,48.5,2.2,1.2,0.1,36.1,25.6,35.7,1.3,5.7,9.7,6.3,0.6,16.5,4.3,7.6,6.5,16.7,15.6,32.8,55.9,6.1,0.0,0.6,61.6,31.4,0.3,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.3,0.8,60.4,0.1,0.0,1.4,15.2,3.7,11.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,9,5,9,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,91.5,83.0,73.0,73.4,68.0,57.1,56.1,57.7,71.8
10117,1,Unter den Linden,12644,26223,13.4,21.7,6.9,9.6,8.9,6.8,2.5,1.9,1.8,75.8,20.3,25.8,37.7,9.1,12.1,11.8,15.0,8.3,9.9,6.8,6.3,6.4,14.5,13.1,3.3,0.2,44.2,9.4,1.0,21.5,7.2,0.1,13814,24.2,75.8,1.0,1.3,12.3,22.2,16.2,9.4,42.4,29.0,42.6,1.1,3.9,7.6,17.3,0.7,11.1,5.6,12.2,8.5,18.1,13.8,30.7,55.5,31.7,2.0,2.4,22.2,39.3,1.1,0.0,0.0,1.3,0.0,29.4,2.0,0.2,1.2,0.0,0.3,0.5,0.0,0.4,1.0,0.8,0.3,0.0,1.1,20.7,0.5,1.0,0.0,25.0,6.4,6.9,0.4,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.1,0.0,0.0,8,8,7,3,8,0.9,1.0,1.1,1.1,1.3,1.4,1.5,1.6,1.3,1.2,1.2,143.1,140.4,120.4,119.1,103.9,92.3,81.3,80.9,75.6
10119,1,Rosenthaler Platz,17896,21424,13.1,50.7,8.4,11.8,12.0,13.7,13.7,2.8,1.8,23.5,30.9,28.7,23.6,8.1,8.2,9.0,15.6,7.8,10.7,6.5,6.6,7.9,19.7,20.9,5.2,2.1,37.9,9.4,8.6,10.5,4.3,1.1,19022,29.1,70.9,15.0,18.9,40.1,11.8,0.0,0.0,35.5,24.3,35.7,1.2,5.9,9.4,5.8,0.7,16.0,3.4,6.5,6.1,16.3,16.5,35.2,57.2,5.2,0.0,0.4,63.7,29.5,1.2,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.8,62.6,0.1,0.0,0.8,12.7,4.1,12.0,0.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,9,7,7,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,34.4,31.3,35.7,32.1,32.9,24.3,20.2,15.8,13.3
10178,1,Hackescher Markt,12452,21724,13.7,49.4,10.9,10.4,15.4,10.7,6.5,1.6,2.2,47.2,29.2,28.0,25.9,8.8,10.4,10.2,13.1,10.0,9.3,6.5,7.5,8.6,15.7,11.5,3.8,2.8,30.5,8.1,9.8,22.3,10.2,1.0,13367,30.0,70.0,2.3,4.5,12.9,18.0,7.7,13.9,35.8,24.7,43.8,0.7,3.9,6.3,21.3,0.6,21.2,6.5,9.1,9.7,14.5,13.5,25.5,57.7,20.2,0.1,0.7,19.5,52.6,6.6,0.0,0.0,0.4,0.0,20.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.3,18.8,0.4,0.0,0.2,48.4,1.7,2.3,1.2,0.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,5,1,7,5,5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,72.0,60.9,48.7,41.4,41.9,33.5,25.0,20.8,21.0
10179,1,Jannowitzbrücke,19790,20974,11.1,55.5,11.7,16.0,24.4,16.8,6.6,2.0,3.0,38.4,32.1,29.6,21.4,8.5,9.8,8.9,11.0,11.3,9.0,6.7,8.4,10.2,16.4,8.7,3.0,5.5,23.4,6.8,18.4,21.6,10.6,2.0,21725,32.8,67.2,3.3,5.3,49.6,39.2,0.4,0.1,34.6,22.2,45.1,1.0,4.1,6.9,24.0,0.2,27.5,7.3,8.5,9.9,12.5,13.2,21.2,55.4,5.8,0.4,0.6,16.4,64.0,12.1,0.0,0.0,0.7,0.0,5.5,0.2,0.0,0.4,0.0,0.0,0.1,0.0,0.2,0.2,0.2,0.0,0.2,0.6,15.5,0.1,0.4,0.1,58.4,3.1,2.2,1.6,3.1,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,8,9,6,4,7,0.7,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,88.4,88.1,77.4,69.5,65.2,52.3,48.0,48.2,48.6
10243,2,Ostbahnhof,28808,19386,11.1,67.2,13.1,21.9,38.4,28.0,17.1,2.4,4.6,26.6,34.1,31.0,17.7,8.1,8.0,8.2,10.4,10.5,9.7,6.3,8.4,11.7,18.7,11.2,3.0,5.6,25.8,6.3,17.1,20.2,8.9,1.9,30056,36.1,63.9,9.3,9.1,55.4,61.8,0.0,0.0,28.0,19.0,40.8,1.0,4.4,7.2,17.3,0.4,30.9,6.2,6.1,7.9,13.6,14.4,20.9,43.3,1.3,0.1,0.0,24.3,63.4,10.9,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,24.2,0.0,0.8,0.1,59.4,1.5,1.6,0.2,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,8,4,7,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.6,0.6,72.0,66.1,57.1,52.5,54.0,44.4,39.4,35.4,34.3
10245,2,Ostkreuz,29908,19334,11.1,56.8,11.5,14.6,25.0,21.3,19.0,2.2,2.8,21.1,34.9,31.7,16.5,8.4,6.6,8.0,14.6,7.6,10.8,6.3,6.7,9.3,21.7,21.4,4.5,3.6,32.9,9.1,13.3,9.3,4.2,1.8,31666,31.0,69.0,44.1,49.7,28.9,12.0,8.1,0.0,25.4,18.0,34.4,1.4,5.4,7.0,5.4,0.6,16.8,3.4,5.2,5.6,14.7,18.9,35.4,47.3,2.9,0.0,0.2,76.5,19.2,1.2,0.0,0.0,0.0,0.0,2.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.2,76.1,0.0,0.0,0.6,13.3,3.1,2.4,0.4,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,9,5,9,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,57.8,47.7,36.0,32.4,31.6,22.5,18.9,14.6,12.8
10247,2,Samariterstraße,35295,18280,10.7,58.3,13.1,19.7,42.3,33.2,28.6,2.7,4.3,19.2,35.0,31.6,14.4,8.1,6.4,7.8,13.9,7.5,10.6,6.0,6.8,10.2,22.8,20.9,4.6,4.0,33.1,8.3,13.8,9.7,3.9,1.7,37913,33.4,66.6,57.5,24.8,63.8,24.9,0.0,0.0,26.4,18.2,33.8,1.4,5.9,8.1,4.5,0.5,16.2,3.7,5.1,5.6,15.4,19.7,34.4,44.0,1.7,0.0,0.0,75.5,22.0,0.8,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,74.8,0.1,0.0,1.4,12.0,2.8,5.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,9,5,8,0.3,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,44.9,48.8,44.4,37.8,37.3,28.4,22.7,22.1,20.6
10249,2,Volkspark Friedrichshain,26793,18748,10,42.9,13.4,22.1,36.0,26.0,17.0,2.5,4.1,24.0,34.7,31.8,15.9,8.0,6.9,7.7,12.2,9.0,10.4,6.3,7.6,11.1,20.8,16.3,3.8,5.5,27.4,7.2,17.1,14.4,6.3,2.0,28403,36.1,63.9,44.3,23.0,37.6,23.1,0.0,0.0,23.4,15.4,39.1,1.4,4.9,7.1,14.0,0.3,24.3,4.5,5.0,6.5,14.5,17.5,27.7,47.1,0.8,0.0,0.3,56.4,40.2,1.8,0.0,0.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,56.4,0.0,0.2,0.7,34.0,2.3,3.1,0.0,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,9,1,9,5,9,0.3,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.3,31.2,33.2,31.2,34.5,34.5,25.0,21.2,17.3,19.9
10315,11,Friedrichsfelde Nord,30478,17209,8,46.3,15.0,32.2,52.0,29.7,7.2,2.1,8.8,27.1,35.4,29.6,12.9,7.4,7.0,6.7,8.8,11.5,8.2,5.7,9.5,14.0,21.4,8.6,2.6,6.9,22.9,6.5,23.3,17.7,9.0,2.6,32452,43.8,56.2,58.7,40.8,39.7,7.2,0.0,0.0,25.3,17.8,42.8,1.0,4.5,7.9,20.7,0.1,33.3,7.9,5.5,8.3,9.9,17.4,17.7,35.3,2.9,0.2,0.2,16.0,69.3,11.2,0.0,0.0,0.2,0.0,2.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.9,0.8,14.0,0.3,0.8,0.1,56.1,7.4,5.0,3.3,2.2,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,8,2,8,3,7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,18.6,12.8,11.0,8.1,8.7,5.2,3.7,3.9,3.9
