"AGS","Name","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","DIE.LINKE","GRÜNE","CSU","PIRATEN","NPD","Tierschutzpartei","REP","ÖDP","FAMILIE","Bündnis.21.RRP","RENTNER","BP","PBC","BüSo","DIE.VIOLETTEN","MLPD","Volksabstimmung","PSG","AfD","BIG","pro.Deutschland","DIE.RECHTE","DIE.FRAUEN","FREIE.WÄHLER","Partei.der.Nichtwähler","PARTEI.DER.VERNUNFT","Die.PARTEI","CDU_rel","SPD_rel","FDP_rel","DIE.LINKE_rel","GRÜNE_rel","CSU_rel","PIRATEN_rel","NPD_rel","Tierschutzpartei_rel","REP_rel","ÖDP_rel","FAMILIE_rel","Bündnis.21.RRP_rel","RENTNER_rel","BP_rel","PBC_rel","BüSo_rel","DIE.VIOLETTEN_rel","MLPD_rel","Volksabstimmung_rel","PSG_rel","AfD_rel","BIG_rel","pro.Deutschland_rel","DIE.RECHTE_rel","DIE.FRAUEN_rel","FREIE.WÄHLER_rel","Partei.der.Nichtwähler_rel","PARTEI.DER.VERNUNFT_rel","Die.PARTEI_rel","Wahlbeteiligung","ost_west"
"01001000","Flensburg",70321,37772,37273,11208,13604,1479,3236,4200,0,966,274,395,0,0,0,0,184,0,0,0,0,17,0,0,1543,0,0,0,0,167,0,0,0,30.07,36.498,3.968,8.682,11.268,0,2.592,0.735,1.06,0,0,0,0,0.494,0,0,0,0,0.046,0,0,4.14,0,0,0,0,0.448,0,0,0,53.7,"West"
"01002000","Kiel",187464,102600,101418,28702,36819,4705,7943,13880,0,3012,670,891,0,0,0,0,525,0,0,0,0,56,0,0,3879,0,0,0,0,336,0,0,0,28.301,36.304,4.639,7.832,13.686,0,2.97,0.661,0.879,0,0,0,0,0.518,0,0,0,0,0.055,0,0,3.825,0,0,0,0,0.331,0,0,0,54.7,"West"
"01003000","Lübeck",167287,90577,89449,29466,31669,3774,6339,9560,0,2329,795,618,0,0,0,0,272,0,0,0,0,80,0,0,3988,0,0,0,0,559,0,0,0,32.942,35.405,4.219,7.087,10.688,0,2.604,0.889,0.691,0,0,0,0,0.304,0,0,0,0,0.089,0,0,4.458,0,0,0,0,0.625,0,0,0,54.1,"West"
"01004000","Neumünster",61095,34003,33488,11801,12182,1553,1920,2432,0,685,561,293,0,0,0,0,144,0,0,0,0,16,0,0,1738,0,0,0,0,163,0,0,0,35.239,36.377,4.637,5.733,7.262,0,2.046,1.675,0.875,0,0,0,0,0.43,0,0,0,0,0.048,0,0,5.19,0,0,0,0,0.487,0,0,0,55.7,"West"
"01051001","Albersdorf",2695,1517,1500,721,394,101,65,81,0,34,13,9,0,0,0,0,6,0,0,0,0,0,0,0,65,0,0,0,0,11,0,0,0,48.067,26.267,6.733,4.333,5.4,0,2.267,0.867,0.6,0,0,0,0,0.4,0,0,0,0,0,0,0,4.333,0,0,0,0,0.733,0,0,0,56.3,"West"
"01051002","Arkebek",176,125,124,67,23,9,6,10,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,54.032,18.548,7.258,4.839,8.065,0,0.806,1.613,0.806,0,0,0,0,0,0,0,0,0,0,0,0,2.419,0,0,0,0,1.613,0,0,0,71,"West"
"01051003","Averlak",476,263,260,106,83,17,7,9,0,8,3,4,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,40.769,31.923,6.538,2.692,3.462,0,3.077,1.154,1.538,0,0,0,0,0.769,0,0,0,0,0,0,0,6.923,0,0,0,0,1.154,0,0,0,55.3,"West"
"01051004","Bargenstedt",743,493,483,245,142,24,23,13,0,5,8,5,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,50.725,29.4,4.969,4.762,2.692,0,1.035,1.656,1.035,0,0,0,0,0.621,0,0,0,0,0,0,0,2.692,0,0,0,0,0.414,0,0,0,66.4,"West"
"01051005","Barkenholm",144,102,101,54,26,3,2,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,53.465,25.743,2.97,1.98,10.891,0,0.99,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0.99,0,0,0,70.8,"West"
"01051006","Barlt",638,440,435,202,147,18,22,21,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,46.437,33.793,4.138,5.057,4.828,0,1.379,0.23,0,0,0,0,0,0.46,0,0,0,0,0,0,0,2.989,0,0,0,0,0.69,0,0,0,69,"West"
"01051008","Bergewöhrden",25,23,23,17,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.913,4.348,13.043,4.348,0,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,"West"
"01051010","Brickeln",156,99,96,60,9,7,3,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,62.5,9.375,7.292,3.125,4.167,0,4.167,1.042,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,0,0,0,0,0,0,63.5,"West"
"01051011","Brunsbüttel",10521,5826,5733,2104,2048,401,288,344,0,111,53,48,0,0,0,0,22,0,0,0,0,5,0,0,281,0,0,0,0,28,0,0,0,36.7,35.723,6.995,5.024,6,0,1.936,0.924,0.837,0,0,0,0,0.384,0,0,0,0,0.087,0,0,4.901,0,0,0,0,0.488,0,0,0,55.4,"West"
"01051012","Buchholz",799,519,515,276,132,28,23,16,0,4,5,2,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,4,0,0,0,53.592,25.631,5.437,4.466,3.107,0,0.777,0.971,0.388,0,0,0,0,0.971,0,0,0,0,0,0,0,3.883,0,0,0,0,0.777,0,0,0,65,"West"
"01051013","Büsum",4160,2365,2341,1062,720,154,93,131,0,26,8,8,0,0,0,0,12,0,0,0,0,2,0,0,92,0,0,0,0,33,0,0,0,45.365,30.756,6.578,3.973,5.596,0,1.111,0.342,0.342,0,0,0,0,0.513,0,0,0,0,0.085,0,0,3.93,0,0,0,0,1.41,0,0,0,56.9,"West"
