"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","CDU.CSU","SPD","FDP","GRÜNE","PDS","DSU","B90.Gr","BP","DDD","BSA","LIGA","CM","ÖKO.Union","DIE.GRAUEN","Mündige","REP","Frauen","KPD","NPD","ÖDP","Patrioten","SpAD","VAA","CDU.CSU_rel","SPD_rel","FDP_rel","GRÜNE_rel","PDS_rel","DSU_rel","B90.Gr_rel","BP_rel","DDD_rel","BSA_rel","LIGA_rel","CM_rel","ÖKO.Union_rel","DIE.GRAUEN_rel","Mündige_rel","REP_rel","Frauen_rel","KPD_rel","NPD_rel","ÖDP_rel","Patrioten_rel","SpAD_rel","VAA_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg",69563,50485,50036,18540,22517,5204,2274,208,0,0,0,0,0,0,0,0,482,0,570,0,0,147,94,0,0,0,37.053,45.002,10.401,4.545,0.416,0,0,0,0,0,0,0,0,0.963,0,1.139,0,0,0.294,0.188,0,0,0,72.6,"West"
"01002","Kiel",192930,146889,145654,50934,66317,15441,8814,916,0,0,0,0,0,0,0,0,916,0,1818,0,0,254,244,0,0,0,34.969,45.531,10.601,6.051,0.629,0,0,0,0,0,0,0,0,0.629,0,1.248,0,0,0.174,0.168,0,0,0,76.1,"West"
"01003","Lübeck",172415,129441,127764,52862,51972,13109,5460,606,0,0,0,0,0,0,0,0,759,0,2281,0,0,374,341,0,0,0,41.375,40.678,10.26,4.274,0.474,0,0,0,0,0,0,0,0,0.594,0,1.785,0,0,0.293,0.267,0,0,0,75.1,"West"
"01004","Neumünster",64857,47530,47017,19523,20244,4660,1430,163,0,0,0,0,0,0,0,0,279,0,519,0,0,137,62,0,0,0,41.523,43.057,9.911,3.041,0.347,0,0,0,0,0,0,0,0,0.593,0,1.104,0,0,0.291,0.132,0,0,0,73.3,"West"
"01051","Dithmarschen",103715,79954,78868,37112,30212,7530,2358,149,0,0,0,0,0,0,0,0,410,0,710,0,0,286,101,0,0,0,47.056,38.307,9.548,2.99,0.189,0,0,0,0,0,0,0,0,0.52,0,0.9,0,0,0.363,0.128,0,0,0,77.1,"West"
"01053","Herzogtum Lauenburg",127702,102910,102010,46757,36037,12206,3796,342,0,0,0,0,0,0,0,0,659,0,1571,0,0,440,202,0,0,0,45.836,35.327,11.965,3.721,0.335,0,0,0,0,0,0,0,0,0.646,0,1.54,0,0,0.431,0.198,0,0,0,80.6,"West"
"01054","Nordfriesland",122876,93149,92408,42160,34668,10234,3530,173,0,0,0,0,0,0,0,0,587,0,661,0,0,229,166,0,0,0,45.624,37.516,11.075,3.82,0.187,0,0,0,0,0,0,0,0,0.635,0,0.715,0,0,0.248,0.18,0,0,0,75.8,"West"
"01055","Ostholstein",152354,120593,119390,55708,44303,12537,3931,263,0,0,0,0,0,0,0,0,657,0,1438,0,0,309,244,0,0,0,46.661,37.108,10.501,3.293,0.22,0,0,0,0,0,0,0,0,0.55,0,1.204,0,0,0.259,0.204,0,0,0,79.2,"West"
"01056","Pinneberg",211947,172925,171667,72541,64387,22799,7143,751,0,0,0,0,0,0,0,0,1175,0,2036,0,0,431,404,0,0,0,42.257,37.507,13.281,4.161,0.437,0,0,0,0,0,0,0,0,0.684,0,1.186,0,0,0.251,0.235,0,0,0,81.6,"West"
"01057","Plön",95159,78537,77814,34084,30531,8376,3033,270,0,0,0,0,0,0,0,0,363,0,818,0,0,187,152,0,0,0,43.802,39.236,10.764,3.898,0.347,0,0,0,0,0,0,0,0,0.466,0,1.051,0,0,0.24,0.195,0,0,0,82.5,"West"
