"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","CDU","SPD","FDP","CSU","GRÜNE","PDS","REP","APD","BP","BüSo","BSA","LIGA","CM","ZENTRUM","GRAUE","NATURGESETZ","MLPD","Tierschutz","ödp","PBC","PASS","STATT.Partei","CDU_rel","SPD_rel","FDP_rel","CSU_rel","GRÜNE_rel","PDS_rel","REP_rel","APD_rel","BP_rel","BüSo_rel","BSA_rel","LIGA_rel","CM_rel","ZENTRUM_rel","GRAUE_rel","NATURGESETZ_rel","MLPD_rel","Tierschutz_rel","ödp_rel","PBC_rel","PASS_rel","STATT.Partei_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg",68987,52379,51823,17837,24172,3404,0,4651,700,499,0,0,0,0,0,0,0,298,168,15,0,79,0,0,0,34.419,46.643,6.569,0,8.975,1.351,0.963,0,0,0,0,0,0,0,0.575,0.324,0.029,0,0.152,0,0,0,75.9,"West"
"01002","Kiel",190268,149583,148279,49244,66012,9166,0,17715,2952,1631,0,0,0,0,0,0,0,662,454,52,0,391,0,0,0,33.21,44.519,6.182,0,11.947,1.991,1.1,0,0,0,0,0,0,0,0.446,0.306,0.035,0,0.264,0,0,0,78.6,"West"
"01003","Lübeck",171209,132575,130904,51048,56323,7449,0,11174,1811,1683,0,0,0,0,0,0,0,640,431,26,0,319,0,0,0,38.997,43.026,5.69,0,8.536,1.383,1.286,0,0,0,0,0,0,0,0.489,0.329,0.02,0,0.244,0,0,0,77.4,"West"
"01004","Neumünster",64327,48484,47907,18623,21835,2926,0,2902,528,584,0,0,0,0,0,0,0,230,160,12,0,107,0,0,0,38.873,45.578,6.108,0,6.058,1.102,1.219,0,0,0,0,0,0,0,0.48,0.334,0.025,0,0.223,0,0,0,75.4,"West"
"01051","Dithmarschen",104806,83290,82337,37328,32124,5846,0,4903,595,820,0,0,0,0,0,0,0,357,240,19,0,105,0,0,0,45.336,39.015,7.1,0,5.955,0.723,0.996,0,0,0,0,0,0,0,0.434,0.291,0.023,0,0.128,0,0,0,79.5,"West"
"01053","Herzogtum Lauenburg",131597,108815,107803,47037,39261,8287,0,9199,1248,1649,0,0,0,0,0,0,0,590,343,30,0,159,0,0,0,43.632,36.419,7.687,0,8.533,1.158,1.53,0,0,0,0,0,0,0,0.547,0.318,0.028,0,0.147,0,0,0,82.7,"West"
"01054","Nordfriesland",123188,96871,96028,40861,37251,8337,0,7434,704,642,0,0,0,0,0,0,0,413,267,13,0,106,0,0,0,42.551,38.792,8.682,0,7.741,0.733,0.669,0,0,0,0,0,0,0,0.43,0.278,0.014,0,0.11,0,0,0,78.6,"West"
"01055","Ostholstein",154611,124768,123531,54939,48253,8846,0,8055,1065,1258,0,0,0,0,0,0,0,511,269,18,0,317,0,0,0,44.474,39.061,7.161,0,6.521,0.862,1.018,0,0,0,0,0,0,0,0.414,0.218,0.015,0,0.257,0,0,0,80.7,"West"
"01056","Pinneberg",216646,181288,179921,74188,68310,15097,0,16229,2221,2090,0,0,0,0,0,0,0,1083,430,31,0,242,0,0,0,41.234,37.967,8.391,0,9.02,1.234,1.162,0,0,0,0,0,0,0,0.602,0.239,0.017,0,0.135,0,0,0,83.7,"West"
"01057","Plön",95813,80480,79771,34098,31887,5384,0,6159,863,716,0,0,0,0,0,0,0,313,201,13,0,137,0,0,0,42.745,39.973,6.749,0,7.721,1.082,0.898,0,0,0,0,0,0,0,0.392,0.252,0.016,0,0.172,0,0,0,84,"West"
