"KRS","KRS_Name","Wahlberechtigte","Wähler","Gültige","SPD","CDU","CSU","GRÜNE","FDP","Die.Linke","Offensive.D","REP","NPD","Die.Tierschutzpartei","GRAUE","PBC","DIE.FRAUEN","FAMILIE","BüSo","BP","ZENTRUM","Deutschland","AGFG","APPD","X50plus","MLPD","Die.Partei","PSG","Pro.DM","SPD_rel","CDU_rel","CSU_rel","GRÜNE_rel","FDP_rel","Die.Linke_rel","Offensive.D_rel","REP_rel","NPD_rel","Die.Tierschutzpartei_rel","GRAUE_rel","PBC_rel","DIE.FRAUEN_rel","FAMILIE_rel","BüSo_rel","BP_rel","ZENTRUM_rel","Deutschland_rel","AGFG_rel","APPD_rel","X50plus_rel","MLPD_rel","Die.Partei_rel","PSG_rel","Pro.DM_rel","Wahlbeteiligung","ost_west"
"01001","Flensburg",66970,49002,48235,21000,13910,0,5028,4196,3066,0,0,427,0,0,0,0,574,0,0,0,0,0,0,0,34,0,0,0,43.537,28.838,0,10.424,8.699,6.356,0,0,0.885,0,0,0,0,1.19,0,0,0,0,0,0,0,0.07,0,0,0,73.2,"West"
"01002","Kiel",177028,136375,134449,56849,37439,0,17561,11347,8321,0,0,1289,0,0,0,0,1499,0,0,0,0,0,0,0,144,0,0,0,42.283,27.846,0,13.061,8.44,6.189,0,0,0.959,0,0,0,0,1.115,0,0,0,0,0,0,0,0.107,0,0,0,77,"West"
"01003","Lübeck",164988,120580,118376,52058,36210,0,10907,9772,6702,0,0,1259,0,0,0,0,1329,0,0,0,0,0,0,0,139,0,0,0,43.977,30.589,0,9.214,8.255,5.662,0,0,1.064,0,0,0,0,1.123,0,0,0,0,0,0,0,0.117,0,0,0,73.1,"West"
"01004","Neumünster",61191,44386,43670,18532,14529,0,2856,4109,2234,0,0,674,0,0,0,0,691,0,0,0,0,0,0,0,45,0,0,0,42.436,33.27,0,6.54,9.409,5.116,0,0,1.543,0,0,0,0,1.582,0,0,0,0,0,0,0,0.103,0,0,0,72.5,"West"
"01051","Dithmarschen",108262,83634,82237,29352,34312,0,4207,8642,3704,0,0,929,0,0,0,0,1037,0,0,0,0,0,0,0,54,0,0,0,35.692,41.723,0,5.116,10.509,4.504,0,0,1.13,0,0,0,0,1.261,0,0,0,0,0,0,0,0.066,0,0,0,77.3,"West"
"01053","Herzogtum Lauenburg",145014,116714,115085,42246,42448,0,9842,12377,5253,0,0,1620,0,0,0,0,1243,0,0,0,0,0,0,0,56,0,0,0,36.709,36.884,0,8.552,10.755,4.564,0,0,1.408,0,0,0,0,1.08,0,0,0,0,0,0,0,0.049,0,0,0,80.5,"West"
"01054","Nordfriesland",130118,101735,100387,36577,41596,0,6750,9932,3661,0,0,765,0,0,0,0,1039,0,0,0,0,0,0,0,67,0,0,0,36.436,41.436,0,6.724,9.894,3.647,0,0,0.762,0,0,0,0,1.035,0,0,0,0,0,0,0,0.067,0,0,0,78.2,"West"
"01055","Ostholstein",163224,129028,127309,49326,48267,0,8435,13236,5296,0,0,1230,0,0,0,0,1459,0,0,0,0,0,0,0,60,0,0,0,38.745,37.913,0,6.626,10.397,4.16,0,0,0.966,0,0,0,0,1.146,0,0,0,0,0,0,0,0.047,0,0,0,79,"West"
"01056","Pinneberg",227185,185609,183322,68570,67534,0,16610,18796,8043,0,0,1770,0,0,0,0,1906,0,0,0,0,0,0,0,93,0,0,0,37.404,36.839,0,9.061,10.253,4.387,0,0,0.966,0,0,0,0,1.04,0,0,0,0,0,0,0,0.051,0,0,0,81.7,"West"
"01057","Plön",103573,85488,84218,32384,31446,0,7040,8041,3476,0,0,777,0,0,0,0,991,0,0,0,0,0,0,0,63,0,0,0,38.453,37.339,0,8.359,9.548,4.127,0,0,0.923,0,0,0,0,1.177,0,0,0,0,0,0,0,0.075,0,0,0,82.5,"West"
