PLZ,Bezirk,Name,Einwohner,Amazon,Kaufkraft,Mietpreis,Mietsteigerung,Arbeitslosenquote,CDU-Wähler,Linke-Wähler,SPD-Wähler,Grüne-Wähler,FDP-Wähler,Afd-Wähler,Autobesitzer,Hauptschulabschluss,Realschulabschluss,Abitur,Konservativ-Etabliertes Milieu,Liberal-Intellektuelles Milieu,Milieu der Performer,Expeditives Milieu,Bürgerliche Mitte,Adaptiv-Pragmatisches Milieu,Sozialökologisches Milieu,Traditionelles Milieu,Prekäres Milieu,Hedonistisches Milieu,Junge Singles,Junge Paare,Junge Familien mit Kind,Singles,Paare,Familien mit Kind,Alleinstehende Senioren,Ältere Paare,Ältere Mehrpersonenhaushalte,Einwohner_Amt,Gebürtige Berliner,Zugezogene,Einfache Wohnlage,Einfache Wohnlage mit Lärm,Mittlere Wohnlage,Mittlere Wohnlage mit Lärm,Gute Wohnlage,Gute Wohnlage mit Lärm,Migrationshintergrund,Ausländeranteil,Alter,Neugeborene,Kita-Kinder,Schüler,Rentner,Airbnb-Ferienwohnungen,Internet-Ferne,Internet-Laien,Selektivorientierte,Sicherheitsorientierte,Effizienzorientierte,Unterhaltungsorientierte,Digital-Souveräne,Werbeverweigerer,Statushohe Großstädter,Gutsituierte in stadtnahen Umlandgemeinden,Gute Wohngebiete in mittelgroßen Städten,Städtische Problemgebiete,Hochhäuser und einfache Mietwohnungen,Rentner in einfachen Nachkriegsbauten,Alte Häuser auf dem Land,Arbeiter in kleinen Städten,Ältere Leute in Umlandgemeinden,Landbevölkerung,Attraktive innerstädtische Wohnlagen,Wohlhabende Akademiker in Villenvierteln,Gutverdienende Familien in neueren Eigenheimen im Umland,Gediegene ältere Einzelhäuser,Speckgürtel: Gute neuere Einzelhäuser,Gute neue Einzelhäuser,Alte Ortskerne,Neue Reihenhäuser im ländlichen Raum,Einfache Häuser im Grünen,Ältere Mehrfamilienhäuser,Aufsteiger: Gehobene Berufe in Außenbezirken,Mittelstand in ländlichen Gemeinden,Sozialer Wohnungsbau und einfache Mehrfamilienhäuser,Nicht modernisierter Altbau,Blockbebauung geringen Standards,Multi-kulturelle Innenstadtbereiche,Hochhäuser einfachen Standards,Älterer sozialer Wohnungsbau,Einfache städtische Zeilenbau-Siedlungen,Soziale Brennpunkte,Jüngere Leute in älteren Mietwohnungen,Mittelstand in älteren Quartieren,Einfache Leute in Mietwohnungen,Einfache alleinstehende Rentner,Jüngere Dorfbewohner,Einfache Berufe auf dem Land,Gering qualifizierte Arbeiter,Selbständige in neueren Häusern,Handwerker im ländlichen Raum,Sozial schwache Kleinstädter,Peripherie: Dörfer in Randlagen,Senioren im Umland,Ältere Familien am Stadtrand,Solide Rentner in Zweifamilienhäusern,Ältere Leute in älteren Häusern,Gutsituierte Senioren in Vororten,Ältere Landbevölkerung,Landbevölkerung,Umzugsvolumen,Umzugssaldo,Fluktuation,Nahumzugsquote,Fernumzugsquote
10115,1,Chauseestraße,22168,1,21402,12,39.2,9.6,21.9,17.2,23.6,21.1,5.4,3.5,29.6,30.5,28.5,24.1,8.6,8.7,9.5,15.1,8,10.6,6.6,6.6,7.7,18.7,19.1,4.8,2.6,36.2,9.3,10.8,11.1,4.8,1.3,24140,27.5,72.5,26.5,30.3,48.5,2.2,1.2,0.1,36.1,25.6,35.7,1.3,5.7,9.7,6.3,0.6,16.5,4.3,7.6,6.5,16.7,15.6,32.8,55.9,6.1,0,0.6,61.6,31.4,0.3,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0.5,0,0.1,0.3,0.8,60.4,0.1,0,1.4,15.2,3.7,11.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,5,9
10117,1,Unter den Linden,12644,1,26223,13.4,21.7,6.9,9.6,8.9,6.8,2.5,1.9,1.8,75.8,20.3,25.8,37.7,9.1,12.1,11.8,15,8.3,9.9,6.8,6.3,6.4,14.5,13.1,3.3,0.2,44.2,9.4,1,21.5,7.2,0.1,13814,24.2,75.8,1,1.3,12.3,22.2,16.2,9.4,42.4,29,42.6,1.1,3.9,7.6,17.3,0.7,11.1,5.6,12.2,8.5,18.1,13.8,30.7,55.5,31.7,2,2.4,22.2,39.3,1.1,0,0,1.3,0,29.4,2,0.2,1.2,0,0.3,0.5,0,0.4,1,0.8,0.3,0,1.1,20.7,0.5,1,0,25,6.4,6.9,0.4,0.5,0.2,0,0,0,0,0,0,0,0,1.3,0,0,0.1,0,0,8,8,7,3,8
10119,1,Rosenthaler Platz,17896,1,21424,13.1,50.7,8.4,11.8,12,13.7,13.7,2.8,1.8,23.5,30.9,28.7,23.6,8.1,8.2,9,15.6,7.8,10.7,6.5,6.6,7.9,19.7,20.9,5.2,2.1,37.9,9.4,8.6,10.5,4.3,1.1,19022,29.1,70.9,15,18.9,40.1,11.8,0,0,35.5,24.3,35.7,1.2,5.9,9.4,5.8,0.7,16,3.4,6.5,6.1,16.3,16.5,35.2,57.2,5.2,0,0.4,63.7,29.5,1.2,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0.8,62.6,0.1,0,0.8,12.7,4.1,12,0.3,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,7,7
10178,1,Hackescher Markt,12452,0,21724,13.7,49.4,10.9,10.4,15.4,10.7,6.5,1.6,2.2,47.2,29.2,28,25.9,8.8,10.4,10.2,13.1,10,9.3,6.5,7.5,8.6,15.7,11.5,3.8,2.8,30.5,8.1,9.8,22.3,10.2,1,13367,30,70,2.3,4.5,12.9,18,7.7,13.9,35.8,24.7,43.8,0.7,3.9,6.3,21.3,0.6,21.2,6.5,9.1,9.7,14.5,13.5,25.5,57.7,20.2,0.1,0.7,19.5,52.6,6.6,0,0,0.4,0,20.2,0,0,0.1,0,0,0,0,0.4,0.3,0,0,0,0.3,18.8,0.4,0,0.2,48.4,1.7,2.3,1.2,0.3,5.1,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0,0,5,1,7,5,5
10179,1,Jannowitzbrücke,19790,0,20974,11.1,55.5,11.7,16,24.4,16.8,6.6,2,3,38.4,32.1,29.6,21.4,8.5,9.8,8.9,11,11.3,9,6.7,8.4,10.2,16.4,8.7,3,5.5,23.4,6.8,18.4,21.6,10.6,2,21725,32.8,67.2,3.3,5.3,49.6,39.2,0.4,0.1,34.6,22.2,45.1,1,4.1,6.9,24,0.2,27.5,7.3,8.5,9.9,12.5,13.2,21.2,55.4,5.8,0.4,0.6,16.4,64,12.1,0,0,0.7,0,5.5,0.2,0,0.4,0,0,0.1,0,0.2,0.2,0.2,0,0.2,0.6,15.5,0.1,0.4,0.1,58.4,3.1,2.2,1.6,3.1,7.4,0,0,0,0,0,0,0,0,0.4,0,0,0.3,0,0,8,9,6,4,7
10243,2,Ostbahnhof,28808,1,19386,11.1,67.2,13.1,21.9,38.4,28,17.1,2.4,4.6,26.6,34.1,31,17.7,8.1,8,8.2,10.4,10.5,9.7,6.3,8.4,11.7,18.7,11.2,3,5.6,25.8,6.3,17.1,20.2,8.9,1.9,30056,36.1,63.9,9.3,9.1,55.4,61.8,0,0,28,19,40.8,1,4.4,7.2,17.3,0.4,30.9,6.2,6.1,7.9,13.6,14.4,20.9,43.3,1.3,0.1,0,24.3,63.4,10.9,0,0,0,0,1.3,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,24.2,0,0.8,0.1,59.4,1.5,1.6,0.2,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,4,7
10245,2,Ostkreuz,29908,1,19334,11.1,56.8,11.5,14.6,25,21.3,19,2.2,2.8,21.1,34.9,31.7,16.5,8.4,6.6,8,14.6,7.6,10.8,6.3,6.7,9.3,21.7,21.4,4.5,3.6,32.9,9.1,13.3,9.3,4.2,1.8,31666,31,69,44.1,49.7,28.9,12,8.1,0,25.4,18,34.4,1.4,5.4,7,5.4,0.6,16.8,3.4,5.2,5.6,14.7,18.9,35.4,47.3,2.9,0,0.2,76.5,19.2,1.2,0,0,0,0,2.9,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0.2,76.1,0,0,0.6,13.3,3.1,2.4,0.4,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,5,9
10247,2,Samariterstraße,35295,0,18280,10.7,58.3,13.1,19.7,42.3,33.2,28.6,2.7,4.3,19.2,35,31.6,14.4,8.1,6.4,7.8,13.9,7.5,10.6,6,6.8,10.2,22.8,20.9,4.6,4,33.1,8.3,13.8,9.7,3.9,1.7,37913,33.4,66.6,57.5,24.8,63.8,24.9,0,0,26.4,18.2,33.8,1.4,5.9,8.1,4.5,0.5,16.2,3.7,5.1,5.6,15.4,19.7,34.4,44,1.7,0,0,75.5,22,0.8,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.6,74.8,0.1,0,1.4,12,2.8,5.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,5,8
10249,2,Volkspark Friedrichshain,26793,0,18748,10,42.9,13.4,22.1,36,26,17,2.5,4.1,24,34.7,31.8,15.9,8,6.9,7.7,12.2,9,10.4,6.3,7.6,11.1,20.8,16.3,3.8,5.5,27.4,7.2,17.1,14.4,6.3,2,28403,36.1,63.9,44.3,23,37.6,23.1,0,0,23.4,15.4,39.1,1.4,4.9,7.1,14,0.3,24.3,4.5,5,6.5,14.5,17.5,27.7,47.1,0.8,0,0.3,56.4,40.2,1.8,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0.1,56.4,0,0.2,0.7,34,2.3,3.1,0,0.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,9,1,9,5,9
10315,11,Friedrichsfelde Nord,30478,1,17209,8,46.3,15,32.2,52,29.7,7.2,2.1,8.8,27.1,35.4,29.6,12.9,7.4,7,6.7,8.8,11.5,8.2,5.7,9.5,14,21.4,8.6,2.6,6.9,22.9,6.5,23.3,17.7,9,2.6,32452,43.8,56.2,58.7,40.8,39.7,7.2,0,0,25.3,17.8,42.8,1,4.5,7.9,20.7,0.1,33.3,7.9,5.5,8.3,9.9,17.4,17.7,35.3,2.9,0.2,0.2,16,69.3,11.2,0,0,0.2,0,2.9,0,0,0.2,0,0,0,0,0,0.2,0,0,0.9,0.8,14,0.3,0.8,0.1,56.1,7.4,5,3.3,2.2,5.7,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8,2,8,3,7
