AGS,KRS,Name,Partei,Farbe,Wahl_1990,Wahl_1994,Wahl_1998,Wahl_2002,Wahl_2005,Wahl_2009,Wahl_2013,Haushaltseinkommen,Arbeitslosenquote,Christen,Ausländeranteil,Wohnungseinbrüche,Durchschnittsalter,Gemeindetyp
1053006,1053,Basedow,AfD,blue,0.17,0.17,0.13,0.14,0.12,0.12,0.13,1890,6,52.4,5.2,318,44.5,Landgemeinde
1053011,1053,Bliestorf,Grüne,green,0.07,0.13,0.14,0.12,0.16,0.18,0.18,1890,6,61,5.2,318,44.5,Landgemeinde
1053018,1053,Buchholz,Grüne,green,0.1,0.17,0.2,0.25,0.23,0.3,0.16,1890,6,66,5.2,318,44.5,Landgemeinde
1053044,1053,Groß Schenkenberg,Grüne,green,0.09,0.15,0.13,0.16,0.13,0.15,0.15,1890,6,59,5.2,318,44.5,Landgemeinde
1053070,1053,Köthel,Grüne,green,0.09,0.22,0.13,0.19,0.15,0.2,0.18,1890,6,43,5.2,318,44.5,Landgemeinde
1053127,1053,Walksfelde,AfD,blue,0.2,0.16,0.14,0.15,0.14,0.15,0.16,1890,6,50,5.2,318,44.5,Landgemeinde
1054035,1054,Garding,FDP,yellow,0.2,0.2,0.22,0.18,0.15,0.26,0.13,1903,6.4,69,4.3,192,45,Landgemeinde
1054104,1054,Poppenbüll,FDP,yellow,0.2,0.2,0.21,0.21,0.14,0.29,0.2,1903,6.4,73,4.3,192,45,Landgemeinde
1054149,1054,Wenningstedt-Braderup,FDP,yellow,0.17,0.12,0.16,0.12,0.15,0.22,0.09,1903,6.4,59.5,4.3,192,45,Landgemeinde
1056013,1056,Ellerbek,FDP,yellow,0.19,0.14,0.14,0.12,0.16,0.2,0.1,1971,5.4,48.1,7.6,318,44.3,Landgemeinde
1057031,1057,Honigsee,Grüne,green,0.08,0.13,0.15,0.19,0.13,0.21,0.12,1799,5.7,50,2.7,242,46.3,Landgemeinde
1057034,1057,Kirchnüchel,AfD,blue,0.08,0.08,0.08,0.09,0.1,0.1,0.12,1799,5.7,3,2.7,242,46.3,Kleinstadt
1058107,1058,Molfsee,FDP,yellow,0.19,0.12,0.16,0.1,0.15,0.22,0.08,1839,5.5,56.3,3,251,44.8,Landgemeinde
1058111,1058,Neu Duvenstedt,AfD,blue,0.08,0.09,0.08,0.08,0.08,0.1,0.12,1839,5.5,68.2,3,251,44.8,Landgemeinde
