KRS,Name,Art,Einwohner,CDU,SPD,FDP,DIE.LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis.21.RRP,RENTNER,BP,PBC,BüSo,DIE.VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro.Deutschland,DIE.RECHTE,DIE.FRAUEN,FREIE.WÄHLER,Partei.der.Nichtwähler,PARTEI.DER.VERNUNFT,Die.PARTEI,Wahlbeteiligung,ost_west,Medianeinkommen,Arbeitslosenquote,Ausländeranteil,Schulabgänger.ohne.Abschluss,Kriminalität,Mietpreis,Mietsteigerung,Ländlichkeit
1001,Flensburg,krsfr. Stadt,84694,30.554,35.621,4.455,8.17,11.903,0,2.533,0.681,1.05,0,0,0,0,0.549,0,0,0,0,0.041,0,0,4.01,0,0,0,0,0.432,0,0,0,66.59034997,West,2867,10.5,7.9,6.1,12785,6.58,19.4,0
1002,Kiel,krsfr. Stadt,243148,29.106,35.252,5.118,7.252,14.396,0,2.846,0.577,0.857,0,0,0,0,0.561,0,0,0,0,0.052,0,0,3.656,0,0,0,0,0.327,0,0,0,70.44232493,West,3129,10.1,8.7,7.8,10725,7.35,15.6,0
1003,Lübeck,krsfr. Stadt,214420,33.653,34.547,4.681,6.602,11.212,0,2.474,0.789,0.711,0,0,0,0,0.35,0,0,0,0,0.082,0,0,4.277,0,0,0,0,0.62,0,0,0,67.75840322,West,2885,10.1,7.6,11.5,10671,7.37,13.2,0
1004,Neumünster,krsfr. Stadt,77588,35.975,35.777,4.887,5.476,7.512,0,1.96,1.599,0.853,0,0,0,0,0.467,0,0,0,0,0.051,0,0,4.989,0,0,0,0,0.452,0,0,0,65.40142401,West,2699,10.9,7.1,6.1,22449,6.01,15.6,0
1051,Dithmarschen,Landkreis,132685,43.502,30.23,6.483,4.843,6.312,0,1.944,0.745,0.713,0,0,0,0,0.454,0,0,0,0,0.043,0,0,4.129,0,0,0,0,0.6,0,0,0,69.43834444,West,2749,7.4,3.5,11.3,5536,5.62,10.3,74.4
1053,Herzogtum Lauenburg,Landkreis,190703,40.193,29.923,5.817,5.239,9.018,0,1.745,0.867,0.834,0,0,0,0,0.329,0,0,0,0,0.02,0,0,5.519,0,0,0,0,0.497,0,0,0,74.61902787,West,2676,6,5.2,7.8,5566,6.93,17.7,36.6
1054,Nordfriesland,Landkreis,162203,43.056,29.499,6.445,4.244,8.834,0,1.826,0.506,0.757,0,0,0,0,0.428,0,0,0,0,0.031,0,0,3.781,0,0,0,0,0.591,0,0,0,71.14755598,West,2619,6.4,4.3,7.6,5510,6.17,5.8,76.5
1055,Ostholstein,Landkreis,198355,41.131,31.665,6.258,4.295,7.856,0,1.581,0.562,0.703,0,0,0,0,0.381,0,0,0,0,0.019,0,0,5.007,0,0,0,0,0.542,0,0,0,72.97737282,West,2480,6.4,3.6,8.3,6828,6.93,13.3,33.3
1056,Pinneberg,Landkreis,304087,40.596,31.217,5.561,5.023,8.621,0,1.9,0.744,0.717,0,0,0,0,0.375,0,0,0,0,0.024,0,0,4.78,0,0,0,0,0.443,0,0,0,75.9963499,West,2864,5.4,7.6,5.8,6504,8.35,11,9.6
1057,Plön,Landkreis,126865,39.665,31.611,5.574,4.449,10.206,0,1.591,0.584,0.754,0,0,0,0,0.406,0,0,0,0,0.03,0,0,4.512,0,0,0,0,0.618,0,0,0,77.04601739,West,2610,5.7,2.7,8.4,4611,6.42,9.3,38.8
1058,Rendsburg-Eckernförde,Landkreis,268628,40.804,31.341,5.637,4.309,9.422,0,1.755,0.556,0.845,0,0,0,0,0.463,0,0,0,0,0.022,0,0,4.377,0,0,0,0,0.47,0,0,0,75.67818277,West,2778,5.5,3,7.6,4912,6.27,13.7,59.8
1059,Schleswig-Flensburg,Landkreis,195593,41.279,31.403,5.25,4.638,8.942,0,1.758,0.537,0.851,0,0,0,0,0.469,0,0,0,0,0.022,0,0,4.116,0,0,0,0,0.736,0,0,0,74.01339522,West,2565,7.3,3.3,9.2,4970,5.78,8.3,77.5
1060,Segeberg,Landkreis,264972,41.673,29.759,5.795,4.929,8.154,0,2.075,0.779,0.863,0,0,0,0,0.421,0,0,0,0,0.027,0,0,4.909,0,0,0,0,0.616,0,0,0,74.12598818,West,2816,5,5.3,6.7,5756,8.48,17.8,31.3
1061,Steinburg,Landkreis,130218,40.967,30.472,5.785,5.263,8.034,0,2.246,0.847,0.779,0,0,0,0,0.391,0,0,0,0,0.023,0,0,4.448,0,0,0,0,0.746,0,0,0,72.32675191,West,2815,6.3,4,9.1,5667,5.63,10.2,64.2
1062,Stormarn,Landkreis,236705,40.656,29.72,5.98,4.718,9.627,0,1.748,0.611,0.726,0,0,0,0,0.366,0,0,0,0,0.023,0,0,5.35,0,0,0,0,0.476,0,0,0,77.42537815,West,2873,4,5,6.2,5819,8.65,12.5,15.2
2000,Hamburg,krsfr. Stadt,1762791,32.097,32.431,4.812,8.789,12.665,0,2.751,0.635,0,0,0.22,0,0,0.429,0,0,0,0,0.047,0,0,4.169,0,0,0,0,0.321,0,0,0.633,70.30192259,West,3444,7.6,13.9,4.9,13803,10.65,6.7,0
3101,Braunschweig,krsfr. Stadt,248502,34.03,33.553,4.367,6.696,12.379,0,2.93,0.73,0.91,0.068,0,0,0,0,0,0.09,0,0,0.07,0,0,3.579,0,0.089,0,0,0.509,0,0,0,74.17582134,West,3247,6.8,8.5,5.6,10260,7.6,26.4,0
3102,Salzgitter,krsfr. Stadt,98966,33.25,41.863,2.971,6.941,5.842,0,1.326,1.535,0.772,0.239,0,0,0,0,0,0.166,0,0,0.025,0,0,3.917,0,0.141,0,0,1.013,0,0,0,68.84034906,West,3785,9.4,10.7,3.7,6446,5.06,4.4,0
3103,Wolfsburg,krsfr. Stadt,123027,41.89,33.995,3.67,5.1,6.903,0,1.926,1.107,0.774,0.038,0,0,0,0,0,0.239,0,0,0.034,0,0,3.809,0,0.105,0,0,0.411,0,0,0,69.67862183,West,4504,4.8,11.7,3.8,7808,8.46,46,0
3151,Gifhorn,Landkreis,172541,43.955,32.155,3.716,4.532,7.353,0,1.871,0.952,0.79,0.055,0,0,0,0,0,0.536,0,0,0.028,0,0,3.561,0,0.087,0,0,0.41,0,0,0,73.9093223,West,2907,4.9,4.8,3.5,4495,6.75,30,53.2
3152,Göttingen,Landkreis,250220,35.428,32.763,4.046,6.422,13.017,0,1.99,0.69,0.7,0.052,0,0,0,0,0,0.09,0,0,0.04,0,0,3.718,0,0.14,0,0,0.904,0,0,0,75.21810195,West,2981,6.3,6.9,4,8722,7.9,30.4,25.2
